Year,Period,Consumer Price Index,Over-the-Year Percent Change,CPI_MOM,Dates
1950,January,23.5,-2.10%,-0.40%,01-01-1950
1950,February,23.5,-1.30%,0.00%,01-02-1950
1950,March,23.6,-0.80%,0.40%,01-03-1950
1950,April,23.6,-1.30%,0.00%,01-04-1950
1950,May,23.7,-0.40%,0.40%,01-05-1950
1950,June,23.8,-0.40%,0.40%,01-06-1950
1950,July,24.1,1.70%,1.30%,01-07-1950
1950,August,24.3,2.10%,0.80%,01-08-1950
1950,September,24.4,2.10%,0.40%,01-09-1950
1950,October,24.6,3.80%,0.80%,01-10-1950
1950,November,24.7,3.80%,0.40%,01-11-1950
1950,December,25,5.90%,1.20%,01-12-1950
1951,January,25.4,8.10%,1.60%,01-01-1951
1951,February,25.7,9.40%,1.20%,01-02-1951
1951,March,25.8,9.30%,0.40%,01-03-1951
1951,April,25.8,9.30%,0.00%,01-04-1951
1951,May,25.9,9.30%,0.40%,01-05-1951
1951,June,25.9,8.80%,0.00%,01-06-1951
1951,July,25.9,7.50%,0.00%,01-07-1951
1951,August,25.9,6.60%,0.00%,01-08-1951
1951,September,26.1,7.00%,0.80%,01-09-1951
1951,October,26.2,6.50%,0.40%,01-10-1951
1951,November,26.4,6.90%,0.80%,01-11-1951
1951,December,26.5,6.00%,0.40%,01-12-1951
1952,January,26.5,4.30%,0.00%,01-01-1952
1952,February,26.3,2.30%,-0.80%,01-02-1952
1952,March,26.3,1.90%,0.00%,01-03-1952
1952,April,26.4,2.30%,0.40%,01-04-1952
1952,May,26.4,1.90%,0.00%,01-05-1952
1952,June,26.5,2.30%,0.40%,01-06-1952
1952,July,26.7,3.10%,0.80%,01-07-1952
1952,August,26.7,3.10%,0.00%,01-08-1952
1952,September,26.7,2.30%,0.00%,01-09-1952
1952,October,26.7,1.90%,0.00%,01-10-1952
1952,November,26.7,1.10%,0.00%,01-11-1952
1952,December,26.7,0.80%,0.00%,01-12-1952
1953,January,26.6,0.40%,-0.40%,01-01-1953
1953,February,26.5,0.80%,-0.40%,01-02-1953
1953,March,26.6,1.10%,0.40%,01-03-1953
1953,April,26.6,0.80%,0.00%,01-04-1953
1953,May,26.7,1.10%,0.40%,01-05-1953
1953,June,26.8,1.10%,0.40%,01-06-1953
1953,July,26.8,0.40%,0.00%,01-07-1953
1953,August,26.9,0.70%,0.40%,01-08-1953
1953,September,26.9,0.70%,0.00%,01-09-1953
1953,October,27,1.10%,0.40%,01-10-1953
1953,November,26.9,0.70%,-0.40%,01-11-1953
1953,December,26.9,0.70%,0.00%,01-12-1953
1954,January,26.9,1.10%,0.00%,01-01-1954
1954,February,26.9,1.50%,0.00%,01-02-1954
1954,March,26.9,1.10%,0.00%,01-03-1954
1954,April,26.8,0.80%,-0.40%,01-04-1954
1954,May,26.9,0.70%,0.40%,01-05-1954
1954,June,26.9,0.40%,0.00%,01-06-1954
1954,July,26.9,0.40%,0.00%,01-07-1954
1954,August,26.9,0.00%,0.00%,01-08-1954
1954,September,26.8,-0.40%,-0.40%,01-09-1954
1954,October,26.8,-0.70%,0.00%,01-10-1954
1954,November,26.8,-0.40%,0.00%,01-11-1954
1954,December,26.7,-0.70%,-0.40%,01-12-1954
1955,January,26.7,-0.70%,0.00%,01-01-1955
1955,February,26.7,-0.70%,0.00%,01-02-1955
1955,March,26.7,-0.70%,0.00%,01-03-1955
1955,April,26.7,-0.40%,0.00%,01-04-1955
1955,May,26.7,-0.70%,0.00%,01-05-1955
1955,June,26.7,-0.70%,0.00%,01-06-1955
1955,July,26.8,-0.40%,0.40%,01-07-1955
1955,August,26.8,-0.40%,0.00%,01-08-1955
1955,September,26.9,0.40%,0.40%,01-09-1955
1955,October,26.9,0.40%,0.00%,01-10-1955
1955,November,26.9,0.40%,0.00%,01-11-1955
1955,December,26.8,0.40%,-0.40%,01-12-1955
1956,January,26.8,0.40%,0.00%,01-01-1956
1956,February,26.8,0.40%,0.00%,01-02-1956
1956,March,26.8,0.40%,0.00%,01-03-1956
1956,April,26.9,0.70%,0.40%,01-04-1956
1956,May,27,1.10%,0.40%,01-05-1956
1956,June,27.2,1.90%,0.70%,01-06-1956
1956,July,27.4,2.20%,0.70%,01-07-1956
1956,August,27.3,1.90%,-0.40%,01-08-1956
1956,September,27.4,1.90%,0.40%,01-09-1956
1956,October,27.5,2.20%,0.40%,01-10-1956
1956,November,27.5,2.20%,0.00%,01-11-1956
1956,December,27.6,3.00%,0.40%,01-12-1956
1957,January,27.6,3.00%,0.00%,01-01-1957
1957,February,27.7,3.40%,0.40%,01-02-1957
1957,March,27.8,3.70%,0.40%,01-03-1957
1957,April,27.9,3.70%,0.40%,01-04-1957
1957,May,28,3.70%,0.40%,01-05-1957
1957,June,28.1,3.30%,0.40%,01-06-1957
1957,July,28.3,3.30%,0.70%,01-07-1957
1957,August,28.3,3.70%,0.00%,01-08-1957
1957,September,28.3,3.30%,0.00%,01-09-1957
1957,October,28.3,2.90%,0.00%,01-10-1957
1957,November,28.4,3.30%,0.40%,01-11-1957
1957,December,28.4,2.90%,0.00%,01-12-1957
1958,January,28.6,3.60%,0.70%,01-01-1958
1958,February,28.6,3.20%,0.00%,01-02-1958
1958,March,28.8,3.60%,0.70%,01-03-1958
1958,April,28.9,3.60%,0.30%,01-04-1958
1958,May,28.9,3.20%,0.00%,01-05-1958
1958,June,28.9,2.80%,0.00%,01-06-1958
1958,July,29,2.50%,0.30%,01-07-1958
1958,August,28.9,2.10%,-0.30%,01-08-1958
1958,September,28.9,2.10%,0.00%,01-09-1958
1958,October,28.9,2.10%,0.00%,01-10-1958
1958,November,29,2.10%,0.30%,01-11-1958
1958,December,28.9,1.80%,-0.30%,01-12-1958
1959,January,29,1.40%,0.30%,01-01-1959
1959,February,28.9,1.00%,-0.30%,01-02-1959
1959,March,28.9,0.30%,0.00%,01-03-1959
1959,April,29,0.30%,0.30%,01-04-1959
1959,May,29,0.30%,0.00%,01-05-1959
1959,June,29.1,0.70%,0.30%,01-06-1959
1959,July,29.2,0.70%,0.30%,01-07-1959
1959,August,29.2,1.00%,0.00%,01-08-1959
1959,September,29.3,1.40%,0.30%,01-09-1959
1959,October,29.4,1.70%,0.30%,01-10-1959
1959,November,29.4,1.40%,0.00%,01-11-1959
1959,December,29.4,1.70%,0.00%,01-12-1959
1960,January,29.3,1.00%,-0.30%,01-01-1960
1960,February,29.4,1.70%,0.30%,01-02-1960
1960,March,29.4,1.70%,0.00%,01-03-1960
1960,April,29.5,1.70%,0.30%,01-04-1960
1960,May,29.5,1.70%,0.00%,01-05-1960
1960,June,29.6,1.70%,0.30%,01-06-1960
1960,July,29.6,1.40%,0.00%,01-07-1960
1960,August,29.6,1.40%,0.00%,01-08-1960
1960,September,29.6,1.00%,0.00%,01-09-1960
1960,October,29.8,1.40%,0.70%,01-10-1960
1960,November,29.8,1.40%,0.00%,01-11-1960
1960,December,29.8,1.40%,0.00%,01-12-1960
1961,January,29.8,1.70%,0.00%,01-01-1961
1961,February,29.8,1.40%,0.00%,01-02-1961
1961,March,29.8,1.40%,0.00%,01-03-1961
1961,April,29.8,1.00%,0.00%,01-04-1961
1961,May,29.8,1.00%,0.00%,01-05-1961
1961,June,29.8,0.70%,0.00%,01-06-1961
1961,July,30,1.40%,0.70%,01-07-1961
1961,August,29.9,1.00%,-0.30%,01-08-1961
1961,September,30,1.40%,0.30%,01-09-1961
1961,October,30,0.70%,0.00%,01-10-1961
1961,November,30,0.70%,0.00%,01-11-1961
1961,December,30,0.70%,0.00%,01-12-1961
1962,January,30,0.70%,0.00%,01-01-1962
1962,February,30.1,1.00%,0.30%,01-02-1962
1962,March,30.1,1.00%,0.00%,01-03-1962
1962,April,30.2,1.30%,0.30%,01-04-1962
1962,May,30.2,1.30%,0.00%,01-05-1962
1962,June,30.2,1.30%,0.00%,01-06-1962
1962,July,30.3,1.00%,0.30%,01-07-1962
1962,August,30.3,1.30%,0.00%,01-08-1962
1962,September,30.4,1.30%,0.30%,01-09-1962
1962,October,30.4,1.30%,0.00%,01-10-1962
1962,November,30.4,1.30%,0.00%,01-11-1962
1962,December,30.4,1.30%,0.00%,01-12-1962
1963,January,30.4,1.30%,0.00%,01-01-1963
1963,February,30.4,1.00%,0.00%,01-02-1963
1963,March,30.5,1.30%,0.30%,01-03-1963
1963,April,30.5,1.00%,0.00%,01-04-1963
1963,May,30.5,1.00%,0.00%,01-05-1963
1963,June,30.6,1.30%,0.30%,01-06-1963
1963,July,30.7,1.30%,0.30%,01-07-1963
1963,August,30.7,1.30%,0.00%,01-08-1963
1963,September,30.7,1.00%,0.00%,01-09-1963
1963,October,30.8,1.30%,0.30%,01-10-1963
1963,November,30.8,1.30%,0.00%,01-11-1963
1963,December,30.9,1.60%,0.30%,01-12-1963
1964,January,30.9,1.60%,0.00%,01-01-1964
1964,February,30.9,1.60%,0.00%,01-02-1964
1964,March,30.9,1.30%,0.00%,01-03-1964
1964,April,30.9,1.30%,0.00%,01-04-1964
1964,May,30.9,1.30%,0.00%,01-05-1964
1964,June,31,1.30%,0.30%,01-06-1964
1964,July,31.1,1.30%,0.30%,01-07-1964
1964,August,31,1.00%,-0.30%,01-08-1964
1964,September,31.1,1.30%,0.30%,01-09-1964
1964,October,31.1,1.00%,0.00%,01-10-1964
1964,November,31.2,1.30%,0.30%,01-11-1964
1964,December,31.2,1.00%,0.00%,01-12-1964
1965,January,31.2,1.00%,0.00%,01-01-1965
1965,February,31.2,1.00%,0.00%,01-02-1965
1965,March,31.3,1.30%,0.30%,01-03-1965
1965,April,31.4,1.60%,0.30%,01-04-1965
1965,May,31.4,1.60%,0.00%,01-05-1965
1965,June,31.6,1.90%,0.60%,01-06-1965
1965,July,31.6,1.60%,0.00%,01-07-1965
1965,August,31.6,1.90%,0.00%,01-08-1965
1965,September,31.6,1.60%,0.00%,01-09-1965
1965,October,31.7,1.90%,0.30%,01-10-1965
1965,November,31.7,1.60%,0.00%,01-11-1965
1965,December,31.8,1.90%,0.30%,01-12-1965
1966,January,31.8,1.90%,0.00%,01-01-1966
1966,February,32,2.60%,0.60%,01-02-1966
1966,March,32.1,2.60%,0.30%,01-03-1966
1966,April,32.3,2.90%,0.60%,01-04-1966
1966,May,32.3,2.90%,0.00%,01-05-1966
1966,June,32.4,2.50%,0.30%,01-06-1966
1966,July,32.5,2.80%,0.30%,01-07-1966
1966,August,32.7,3.50%,0.60%,01-08-1966
1966,September,32.7,3.50%,0.00%,01-09-1966
1966,October,32.9,3.80%,0.60%,01-10-1966
1966,November,32.9,3.80%,0.00%,01-11-1966
1966,December,32.9,3.50%,0.00%,01-12-1966
1967,January,32.9,3.50%,0.00%,01-01-1967
1967,February,32.9,2.80%,0.00%,01-02-1967
1967,March,33,2.80%,0.30%,01-03-1967
1967,April,33.1,2.50%,0.30%,01-04-1967
1967,May,33.2,2.80%,0.30%,01-05-1967
1967,June,33.3,2.80%,0.30%,01-06-1967
1967,July,33.4,2.80%,0.30%,01-07-1967
1967,August,33.5,2.40%,0.30%,01-08-1967
1967,September,33.6,2.80%,0.30%,01-09-1967
1967,October,33.7,2.40%,0.30%,01-10-1967
1967,November,33.8,2.70%,0.30%,01-11-1967
1967,December,33.9,3.00%,0.30%,01-12-1967
1968,January,34.1,3.60%,0.60%,01-01-1968
1968,February,34.2,4.00%,0.30%,01-02-1968
1968,March,34.3,3.90%,0.30%,01-03-1968
1968,April,34.4,3.90%,0.30%,01-04-1968
1968,May,34.5,3.90%,0.30%,01-05-1968
1968,June,34.7,4.20%,0.60%,01-06-1968
1968,July,34.9,4.50%,0.60%,01-07-1968
1968,August,35,4.50%,0.30%,01-08-1968
1968,September,35.1,4.50%,0.30%,01-09-1968
1968,October,35.3,4.70%,0.60%,01-10-1968
1968,November,35.4,4.70%,0.30%,01-11-1968
1968,December,35.5,4.70%,0.30%,01-12-1968
1969,January,35.6,4.40%,0.30%,01-01-1969
1969,February,35.8,4.70%,0.60%,01-02-1969
1969,March,36.1,5.20%,0.80%,01-03-1969
1969,April,36.3,5.50%,0.60%,01-04-1969
1969,May,36.4,5.50%,0.30%,01-05-1969
1969,June,36.6,5.50%,0.50%,01-06-1969
1969,July,36.8,5.40%,0.50%,01-07-1969
1969,August,37,5.70%,0.50%,01-08-1969
1969,September,37.1,5.70%,0.30%,01-09-1969
1969,October,37.3,5.70%,0.50%,01-10-1969
1969,November,37.5,5.90%,0.50%,01-11-1969
1969,December,37.7,6.20%,0.50%,01-12-1969
1970,January,37.8,6.20%,0.30%,01-01-1970
1970,February,38,6.10%,0.50%,01-02-1970
1970,March,38.2,5.80%,0.50%,01-03-1970
1970,April,38.5,6.10%,0.80%,01-04-1970
1970,May,38.6,6.00%,0.30%,01-05-1970
1970,June,38.8,6.00%,0.50%,01-06-1970
1970,July,39,6.00%,0.50%,01-07-1970
1970,August,39,5.40%,0.00%,01-08-1970
1970,September,39.2,5.70%,0.50%,01-09-1970
1970,October,39.4,5.60%,0.50%,01-10-1970
1970,November,39.6,5.60%,0.50%,01-11-1970
1970,December,39.8,5.60%,0.50%,01-12-1970
1971,January,39.8,5.30%,0.00%,01-01-1971
1971,February,39.9,5.00%,0.30%,01-02-1971
1971,March,40,4.70%,0.30%,01-03-1971
1971,April,40.1,4.20%,0.30%,01-04-1971
1971,May,40.3,4.40%,0.50%,01-05-1971
1971,June,40.6,4.60%,0.70%,01-06-1971
1971,July,40.7,4.40%,0.20%,01-07-1971
1971,August,40.8,4.60%,0.20%,01-08-1971
1971,September,40.8,4.10%,0.00%,01-09-1971
1971,October,40.9,3.80%,0.20%,01-10-1971
1971,November,40.9,3.30%,0.00%,01-11-1971
1971,December,41.1,3.30%,0.50%,01-12-1971
1972,January,41.1,3.30%,0.00%,01-01-1972
1972,February,41.3,3.50%,0.50%,01-02-1972
1972,March,41.4,3.50%,0.20%,01-03-1972
1972,April,41.5,3.50%,0.20%,01-04-1972
1972,May,41.6,3.20%,0.20%,01-05-1972
1972,June,41.7,2.70%,0.20%,01-06-1972
1972,July,41.9,2.90%,0.50%,01-07-1972
1972,August,42,2.90%,0.20%,01-08-1972
1972,September,42.1,3.20%,0.20%,01-09-1972
1972,October,42.3,3.40%,0.50%,01-10-1972
1972,November,42.4,3.70%,0.20%,01-11-1972
1972,December,42.5,3.40%,0.20%,01-12-1972
1973,January,42.6,3.60%,0.20%,01-01-1973
1973,February,42.9,3.90%,0.70%,01-02-1973
1973,March,43.3,4.60%,0.90%,01-03-1973
1973,April,43.6,5.10%,0.70%,01-04-1973
1973,May,43.9,5.50%,0.70%,01-05-1973
1973,June,44.2,6.00%,0.70%,01-06-1973
1973,July,44.3,5.70%,0.20%,01-07-1973
1973,August,45.1,7.40%,1.80%,01-08-1973
1973,September,45.2,7.40%,0.20%,01-09-1973
1973,October,45.6,7.80%,0.90%,01-10-1973
1973,November,45.9,8.30%,0.70%,01-11-1973
1973,December,46.2,8.70%,0.70%,01-12-1973
1974,January,46.6,9.40%,0.90%,01-01-1974
1974,February,47.2,10.00%,1.30%,01-02-1974
1974,March,47.8,10.40%,1.30%,01-03-1974
1974,April,48,10.10%,0.40%,01-04-1974
1974,May,48.6,10.70%,1.30%,01-05-1974
1974,June,49,10.90%,0.80%,01-06-1974
1974,July,49.4,11.50%,0.80%,01-07-1974
1974,August,50,10.90%,1.20%,01-08-1974
1974,September,50.6,11.90%,1.20%,01-09-1974
1974,October,51.1,12.10%,1.00%,01-10-1974
1974,November,51.5,12.20%,0.80%,01-11-1974
1974,December,51.9,12.30%,0.80%,01-12-1974
1975,January,52.1,11.80%,0.40%,01-01-1975
1975,February,52.5,11.20%,0.80%,01-02-1975
1975,March,52.7,10.30%,0.40%,01-03-1975
1975,April,52.9,10.20%,0.40%,01-04-1975
1975,May,53.2,9.50%,0.60%,01-05-1975
1975,June,53.6,9.40%,0.80%,01-06-1975
1975,July,54.2,9.70%,1.10%,01-07-1975
1975,August,54.3,8.60%,0.20%,01-08-1975
1975,September,54.6,7.90%,0.60%,01-09-1975
1975,October,54.9,7.40%,0.50%,01-10-1975
1975,November,55.3,7.40%,0.70%,01-11-1975
1975,December,55.5,6.90%,0.40%,01-12-1975
1976,January,55.6,6.70%,0.20%,01-01-1976
1976,February,55.8,6.30%,0.40%,01-02-1976
1976,March,55.9,6.10%,0.20%,01-03-1976
1976,April,56.1,6.00%,0.40%,01-04-1976
1976,May,56.5,6.20%,0.70%,01-05-1976
1976,June,56.8,6.00%,0.50%,01-06-1976
1976,July,57.1,5.40%,0.50%,01-07-1976
1976,August,57.4,5.70%,0.50%,01-08-1976
1976,September,57.6,5.50%,0.30%,01-09-1976
1976,October,57.9,5.50%,0.50%,01-10-1976
1976,November,58,4.90%,0.20%,01-11-1976
1976,December,58.2,4.90%,0.30%,01-12-1976
1977,January,58.5,5.20%,0.50%,01-01-1977
1977,February,59.1,5.90%,1.00%,01-02-1977
1977,March,59.5,6.40%,0.70%,01-03-1977
1977,April,60,7.00%,0.80%,01-04-1977
1977,May,60.3,6.70%,0.50%,01-05-1977
1977,June,60.7,6.90%,0.70%,01-06-1977
1977,July,61,6.80%,0.50%,01-07-1977
1977,August,61.2,6.60%,0.30%,01-08-1977
1977,September,61.4,6.60%,0.30%,01-09-1977
1977,October,61.6,6.40%,0.30%,01-10-1977
1977,November,61.9,6.70%,0.50%,01-11-1977
1977,December,62.1,6.70%,0.30%,01-12-1977
1978,January,62.5,6.80%,0.60%,01-01-1978
1978,February,62.9,6.40%,0.60%,01-02-1978
1978,March,63.4,6.60%,0.80%,01-03-1978
1978,April,63.9,6.50%,0.80%,01-04-1978
1978,May,64.5,7.00%,0.90%,01-05-1978
1978,June,65.2,7.40%,1.10%,01-06-1978
1978,July,65.7,7.70%,0.80%,01-07-1978
1978,August,66,7.80%,0.50%,01-08-1978
1978,September,66.5,8.30%,0.80%,01-09-1978
1978,October,67.1,8.90%,0.90%,01-10-1978
1978,November,67.4,8.90%,0.40%,01-11-1978
1978,December,67.7,9.00%,0.40%,01-12-1978
1979,January,68.3,9.30%,0.90%,01-01-1979
1979,February,69.1,9.90%,1.20%,01-02-1979
1979,March,69.8,10.10%,1.00%,01-03-1979
1979,April,70.6,10.50%,1.10%,01-04-1979
1979,May,71.5,10.90%,1.30%,01-05-1979
1979,June,72.3,10.90%,1.10%,01-06-1979
1979,July,73.1,11.30%,1.10%,01-07-1979
1979,August,73.8,11.80%,1.00%,01-08-1979
1979,September,74.6,12.20%,1.10%,01-09-1979
1979,October,75.2,12.10%,0.80%,01-10-1979
1979,November,75.9,12.60%,0.90%,01-11-1979
1979,December,76.7,13.30%,1.10%,01-12-1979
1980,January,77.8,13.90%,1.40%,01-01-1980
1980,February,78.9,14.20%,1.40%,01-02-1980
1980,March,80.1,14.80%,1.50%,01-03-1980
1980,April,81,14.70%,1.10%,01-04-1980
1980,May,81.8,14.40%,1.00%,01-05-1980
1980,June,82.7,14.40%,1.10%,01-06-1980
1980,July,82.7,13.10%,0.00%,01-07-1980
1980,August,83.3,12.90%,0.70%,01-08-1980
1980,September,84,12.60%,0.80%,01-09-1980
1980,October,84.8,12.80%,1.00%,01-10-1980
1980,November,85.5,12.60%,0.80%,01-11-1980
1980,December,86.3,12.50%,0.90%,01-12-1980
1981,January,87,11.80%,0.80%,01-01-1981
1981,February,87.9,11.40%,1.00%,01-02-1981
1981,March,88.5,10.50%,0.70%,01-03-1981
1981,April,89.1,10.00%,0.70%,01-04-1981
1981,May,89.8,9.80%,0.80%,01-05-1981
1981,June,90.6,9.60%,0.90%,01-06-1981
1981,July,91.6,10.80%,1.10%,01-07-1981
1981,August,92.3,10.80%,0.80%,01-08-1981
1981,September,93.2,11.00%,1.00%,01-09-1981
1981,October,93.4,10.10%,0.20%,01-10-1981
1981,November,93.7,9.60%,0.30%,01-11-1981
1981,December,94,8.90%,0.30%,01-12-1981
1982,January,94.3,8.40%,0.30%,01-01-1982
1982,February,94.6,7.60%,0.30%,01-02-1982
1982,March,94.5,6.80%,-0.10%,01-03-1982
1982,April,94.9,6.50%,0.40%,01-04-1982
1982,May,95.8,6.70%,0.90%,01-05-1982
1982,June,97,7.10%,1.30%,01-06-1982
1982,July,97.5,6.40%,0.50%,01-07-1982
1982,August,97.7,5.90%,0.20%,01-08-1982
1982,September,97.9,5.00%,0.20%,01-09-1982
1982,October,98.2,5.10%,0.30%,01-10-1982
1982,November,98,4.60%,-0.20%,01-11-1982
1982,December,97.6,3.80%,-0.40%,01-12-1982
1983,January,97.8,3.70%,0.20%,01-01-1983
1983,February,97.9,3.50%,0.10%,01-02-1983
1983,March,97.9,3.60%,0.00%,01-03-1983
1983,April,98.6,3.90%,0.70%,01-04-1983
1983,May,99.2,3.50%,0.60%,01-05-1983
1983,June,99.5,2.60%,0.30%,01-06-1983
1983,July,99.9,2.50%,0.40%,01-07-1983
1983,August,100.2,2.60%,0.30%,01-08-1983
1983,September,100.7,2.90%,0.50%,01-09-1983
1983,October,101,2.90%,0.30%,01-10-1983
1983,November,101.2,3.30%,0.20%,01-11-1983
1983,December,101.3,3.80%,0.10%,01-12-1983
1984,January,101.9,4.20%,0.60%,01-01-1984
1984,February,102.4,4.60%,0.50%,01-02-1984
1984,March,102.6,4.80%,0.20%,01-03-1984
1984,April,103.1,4.60%,0.50%,01-04-1984
1984,May,103.4,4.20%,0.30%,01-05-1984
1984,June,103.7,4.20%,0.30%,01-06-1984
1984,July,104.1,4.20%,0.40%,01-07-1984
1984,August,104.5,4.30%,0.40%,01-08-1984
1984,September,105,4.30%,0.50%,01-09-1984
1984,October,105.3,4.30%,0.30%,01-10-1984
1984,November,105.3,4.10%,0.00%,01-11-1984
1984,December,105.3,3.90%,0.00%,01-12-1984
1985,January,105.5,3.50%,0.20%,01-01-1985
1985,February,106,3.50%,0.50%,01-02-1985
1985,March,106.4,3.70%,0.40%,01-03-1985
1985,April,106.9,3.70%,0.50%,01-04-1985
1985,May,107.3,3.80%,0.40%,01-05-1985
1985,June,107.6,3.80%,0.30%,01-06-1985
1985,July,107.8,3.60%,0.20%,01-07-1985
1985,August,108,3.30%,0.20%,01-08-1985
1985,September,108.3,3.10%,0.30%,01-09-1985
1985,October,108.7,3.20%,0.40%,01-10-1985
1985,November,109,3.50%,0.30%,01-11-1985
1985,December,109.3,3.80%,0.30%,01-12-1985
1986,January,109.6,3.90%,0.30%,01-01-1986
1986,February,109.3,3.10%,-0.30%,01-02-1986
1986,March,108.8,2.30%,-0.50%,01-03-1986
1986,April,108.6,1.60%,-0.20%,01-04-1986
1986,May,108.9,1.50%,0.30%,01-05-1986
1986,June,109.5,1.80%,0.60%,01-06-1986
1986,July,109.5,1.60%,0.00%,01-07-1986
1986,August,109.7,1.60%,0.20%,01-08-1986
1986,September,110.2,1.80%,0.50%,01-09-1986
1986,October,110.3,1.50%,0.10%,01-10-1986
1986,November,110.4,1.30%,0.10%,01-11-1986
1986,December,110.5,1.10%,0.10%,01-12-1986
1987,January,111.2,1.50%,0.60%,01-01-1987
1987,February,111.6,2.10%,0.40%,01-02-1987
1987,March,112.1,3.00%,0.40%,01-03-1987
1987,April,112.7,3.80%,0.50%,01-04-1987
1987,May,113.1,3.90%,0.40%,01-05-1987
1987,June,113.5,3.70%,0.40%,01-06-1987
1987,July,113.8,3.90%,0.30%,01-07-1987
